OID,DCA_Code,Common_Name,Scientific_Name,Category
-1,12224,Chinese rose beetle,Adoretus sinicus,Defoliators
-1,12225,rose beetle,Adoretus versutus,Defoliators
-1,12226,coconut hispid beetle,Brontispa longissima,Defoliators
-1,12227,green rose chafer,Dichelonyx backi,Defoliators
-1,12228,stick insect,Graeffea crouanii,Defoliators
-1,12229,<Hulodes caranea>,Hulodes caranea,Defoliators
-1,12230,bagworm moth,<Psychidae>,Defoliators
-1,12231,Palau coconut beetle,Brontispa palauenis,Defoliators
-1,12232,madrone thrips,Thrips madronii,Defoliators
-1,12233,thrips,<Thysanoptera>,Defoliators
-1,12234,fall hardwood defoliator group,<fall hardwood defoliator group>,Defoliators
-1,12235,aroga moth,Aroga websteri,Defoliators
-1,12236,aspen twoleaf tier,Enargia decolor,Defoliators
-1,12237,early aspen Leafroller,Pseudexentera oregonana,Defoliators
-1,12238,cottonwood leafblotch miner,Phyllonorycter nipigan,Defoliators
-1,12239,tamarisk leaf beetles,Diorhabda spp.,Defoliators
-1,12240,mountain girdle,Enypia griseatta,Defoliators
-1,12241,box-elder tussock moth,Orgyia leuschneri,Defoliators
-1,12242,spruce budworm (C. orae),Choristoneura orae,Defoliators
-1,12243,battered sallow,Sunira verberata,Defoliators
-1,12244,western false hemlock looper,Nepytia freemani,Defoliators
-1,12245,speckled green fruitworm,Orthosia hibisci,Defoliators
-1,12246,late birch leaf edgeminer,Heterarthrus nemoratus,Defoliators
-1,12247,autumnal moth,Epirrita autumnata,Defoliators
-1,12248,alder woolly sawfly,Eriocampa ovata,Defoliators
-1,12249,leaf beetles,<leaf beetles>,Defoliators
-1,12250,leafminers,<leafminers>,Defoliators
-1,12251,basswood leafminer,"Baliosus nervosus
",Defoliators
-1,12257,leafrollers,<leafrollers>,Defoliators
-1,12300,budworm,<budworms>,Defoliators
-1,12800,"other defoliator, known (code pending)","<other defoliator, known (code pending)>",Defoliators
-1,12900,unknown defoliator,<unknown defoliator>,Defoliators
-1,13000,other chewing insects and allies,<other chewing insects and allies>,Other Chewing Insects and Allies
-1,13001,grasshopper,<grasshopper>,Other Chewing Insects and Allies
-1,13002,shorthorn grasshoppers,<Acrididae>,Other Chewing Insects and Allies
-1,13003,black cutworm,Agrotis ipsilon,Other Chewing Insects and Allies
-1,13005,clearwinged grasshopper,Camnula pellucida,Other Chewing Insects and Allies
-1,13006,cicadas,<Cicadidae>,Other Chewing Insects and Allies
-1,13008,<Euxoa excellens>,Euxoa excellens,Other Chewing Insects and Allies
-1,13009,whitefringed beetles,Graphognathus spp.,Other Chewing Insects and Allies
-1,13011,vegetable weevil,Listroderes difficilis,Other Chewing Insects and Allies
-1,13012,periodical cicada,<periodical cicada>,Other Chewing Insects and Allies
-1,13013,migratory grasshopper,Melanoplus sanguinipes,Other Chewing Insects and Allies
-1,13014,valley grasshopper,Oedaleonotus enigma,Other Chewing Insects and Allies
-1,13015,strawberry root weevil,Otiorhynchus ovatus,Other Chewing Insects and Allies
-1,13016,black vine weevil,Otiorhynchus sulcatus,Other Chewing Insects and Allies
-1,13017,pandanus beetle,Oxycephala pandani,Other Chewing Insects and Allies
-1,13018,spaeth pandanus,Oxycephala spaethi,Other Chewing Insects and Allies
-1,13019,agamemnon butterfly,Papilio agamemnon,Other Chewing Insects and Allies
-1,13022,pine needle weevil,Scythropus spp.,Other Chewing Insects and Allies
-1,13023,coconut longhorned grasshopper,Segestes unicolor,Other Chewing Insects and Allies
-1,13024,clover root curculio,Sitona hispidulus,Other Chewing Insects and Allies
-1,13027,shorthorned grasshopper,Valanga nigricornis,Other Chewing Insects and Allies
-1,13029,eastern pine weevil,"Pissodes nemorensis
",Other Chewing Insects and Allies
-1,13031,Asiatic oak weevil,Cyrtepistomus castaneus,Other Chewing Insects and Allies
-1,13032,weevil,<Curculionidae>,Other Chewing Insects and Allies
-1,13033,Caroline shortnosed weevil,Lophothetes spp.,Other Chewing Insects and Allies
-1,13034,conifer seedling weevil,Steremnius carinatus,Other Chewing Insects and Allies
-1,13800,"other chewing insect or ally, known (code pending)","<other chewing insect or ally, known (code pending)>",Other Chewing Insects and Allies
-1,13900,unknown chewing insect or ally,<unknown chewing insect or ally>,Other Chewing Insects and Allies
-1,14000,sap feeders,<sap feeders>,Sap Feeders
-1,14001,scale insects,<Coccodidea>,Sap Feeders
-1,14002,western larch woolly aphid,Adelges oregonensis,Sap Feeders
-1,14003,balsam woolly adelgid,Adelges piceae,Sap Feeders
-1,14004,hemlock woolly adelgid,Adelges tsugae,Sap Feeders
-1,14005,spiraling whitefly,Aleurodicus dispersus,Sap Feeders
-1,14006,aphid,<Aphididae>,Sap Feeders
-1,14007,pine spittlebug,Aphrophora cribrata,Sap Feeders
-1,14008,western pine spittlebug,Aphrophora permutata,Sap Feeders
-1,14009,Saratoga spittlebug,Aphrophora saratogensis,Sap Feeders
-1,14010,spittlebug,<Cercopidae>,Sap Feeders
-1,14011,wax scale,Ceroplastes spp.,Sap Feeders
-1,14012,pine needle scale,Chionaspis pinifoliae,Sap Feeders
-1,14014,giant conifer aphids,Cinara spp.,Sap Feeders
-1,14015,white pine aphid,Cinara strobi,Sap Feeders
-1,14016,beech scale,Cryptococcus fagisuga,Sap Feeders
-1,14017,spruce aphid,Elatobium abietinum,Sap Feeders
-1,14018,woolly apple aphid,Eriosoma lanigerum,Sap Feeders
-1,14019,striped mealybug,Ferrisia virgata,Sap Feeders
-1,14020,elongate hemlock scale,Fiorinia externa,Sap Feeders
-1,14021,coconut red scale,Furcaspis oceanica,Sap Feeders
-1,14022,pine thrips,Gnophothrips spp.,Sap Feeders
